aws,hsa,time,hsa_diff,hsa_rate
JAR,0.606603451383114,17-Jul-2021,0,0
JAR,0.488424527460336,18-Jul-2021,-0.118178923922778,-0.118178923922778
JAR,0.57711603615284,25-Jul-2021,-0.0294874152302744,0.0126702155275005
JAR,0.383362207370997,28-Jul-2021,-0.223241244012117,-0.0645846095939476
JAR,0.433900643238425,29-Jul-2021,-0.172702808144689,0.0505384358674285
JAR,0.416976921075583,30-Jul-2021,-0.189626530307531,-0.0169237221628425
JAR,0.279672491763532,31-Jul-2021,-0.326930959619582,-0.137304429312051
JAR,0.544935490435362,13-Jul-2022,0,0
JAR,0.585988344359398,15-Jul-2022,0.0410528539240357,0.0205264269620178
JAR,0.521752468991279,16-Jul-2022,-0.0231830214440827,-0.0642358753681184
JAR,0.521300398752093,17-Jul-2022,-0.0236350916832685,-0.000452070239185809
JAR,0.371844194155932,20-Jul-2022,-0.17309129627943,-0.0498187348653873
JAR,0.442505616647005,24-Jul-2022,-0.102429873788357,0.0176653556227684
JAR,0.439424612843991,28-Jul-2022,-0.105510877591371,-0.000770250950753643
JAR,0.364008900355548,01-Aug-2022,-0.180926590079814,-0.0188539281221108
JAR,0.432600097814202,02-Aug-2022,-0.11233539262116,0.0685911974586547
JAR,0.426406662109494,03-Aug-2022,-0.118528828325868,-0.00619343570470787
JAR,0.366180327045918,06-Aug-2022,-0.178755163389444,-0.0200754450211923
JAR,0.381446802124381,07-Aug-2022,-0.163488688310981,0.0152664750784635
JAR,0.712035986930132,19-Aug-2022,0.16710049649477,0.0275490987338126
JAR,0.579306211951375,27-Aug-2022,0.0343707215160131,-0.0165912218723447
JAR,0.719656129074097,01-Sep-2022,0.174720638638735,0.0280699834245445
JAR,0.382379784153402,04-Sep-2022,-0.16255570628196,-0.112425448306898
JAR,0.752469642925262,08-Sep-2022,0.2075341524899,0.0925224646929651
JAR,0.646618701797724,25-Sep-2022,0.101683211362362,-0.00622652594867872
JAR_O,0.672628978836537,02-Jul-2023,0,0
JAR_O,0.655857247376442,12-Jul-2023,-0.0167717314600947,-0.00167717314600947
JAR_O,0.528652091923356,13-Jul-2023,-0.143976886913181,-0.127205155453086
JAR_O,0.490179602766037,18-Jul-2023,-0.1824493760705,-0.00769449783146385
JAR_O,0.629092436569929,25-Jul-2023,-0.0435365422666081,0.0198446905434132
JAR_O,0.517686378195882,28-Jul-2023,-0.154942600640655,-0.037135352791349
JAR_O,0.537186892330646,29-Jul-2023,-0.135442086505891,0.0195005141347645
JAR_O,0.459030104348063,01-Aug-2023,-0.213598874488474,-0.0260522626608611
JAR_O,0.593492683148384,02-Aug-2023,-0.0791362956881528,0.134462578800321
JAR_O,0.528265746665001,04-Aug-2023,-0.144363232171536,-0.0326134682416918
JAR_O,0.543212081569433,05-Aug-2023,-0.129416897267103,0.0149463349044329
JAR_O,0.514019968359172,06-Aug-2023,-0.158609010477365,-0.0291921132102611
JAR_O,0.426585637894273,07-Aug-2023,-0.246043340942264,-0.0874343304648995
JAR_O,0.393802536338568,12-Aug-2023,-0.278826442497969,-0.00655662031114101
JAR_O,0.430481975525617,17-Aug-2023,-0.24214700331092,0.00733588783740988
JAR_O,0.3380106655173,21-Aug-2023,-0.334618313319237,-0.0231178275020792
JAR_O,0.385912371623702,22-Aug-2023,-0.286716607212835,0.0479017061064019
JAR_O,0.412051535049081,24-Aug-2023,-0.260577443787456,0.0130695817126893
JAR_O,0.615332341164351,27-Aug-2023,-0.0572966376721864,0.0677602687050898
JAR_O,0.748512835097313,23-Sep-2023,0.0758838562607764,0.00493261088640603
KAN_L,0.602389313590527,01-May-2019,0,0
KAN_L,0.60856333976388,02-May-2019,0.00617402617335316,0.00617402617335316
KAN_L,0.602876761990786,06-May-2019,0.000487448400258939,-0.00142164444327356
KAN_L,0.57983866327703,07-May-2019,-0.0225506503134967,-0.0230380987137556
KAN_L,0.601198256495595,09-May-2019,-0.00119105709493184,0.0106797966092824
KAN_L,0.637207832723856,12-May-2019,0.0348185191333297,0.0120031920760872
KAN_L,0.602285754472017,17-May-2019,-0.000103559118509233,-0.00698441565036778
KAN_L,0.615137804216147,19-May-2019,0.0127484906256199,0.00642602487206456
KAN_L,0.595483190065622,21-May-2019,-0.00690612352490427,-0.00982730707526208
KAN_L,0.600871168249846,22-May-2019,-0.00151814534068107,0.00538797818422321
KAN_L,0.579266317135095,23-May-2019,-0.0231229964554314,-0.0216048511147503
KAN_L,0.587787033480406,24-May-2019,-0.0146022801101212,0.00852071634531015
KAN_L,0.57696718197763,25-May-2019,-0.025422131612897,-0.0108198515027758
KAN_L,0.551023393762111,26-May-2019,-0.0513659198284153,-0.0259437882155183
KAN_L,0.568487865567207,27-May-2019,-0.0339014480233193,0.017464471805096
KAN_L,0.578523795264959,29-May-2019,-0.0238655183255675,0.0050179648488759
KAN_L,0.548833606755733,31-May-2019,-0.0535557068347934,-0.0148450942546129
KAN_L,0.50191895737648,01-Jun-2019,-0.100470356214047,-0.0469146493792532
KAN_L,0.567553094303608,05-Jun-2019,-0.0348362192869187,0.016408534231782
KAN_L,0.515524127273262,08-Jun-2019,-0.086865186317265,-0.0173429890101154
KAN_L,0.514919882827997,10-Jun-2019,-0.0874694307625296,-0.000302122222632262
KAN_L,0.438926172018051,11-Jun-2019,-0.163463141572476,-0.0759937108099461
KAN_L,0.513615756371617,13-Jun-2019,-0.0887735572189093,0.0373447921767832
KAN_L,0.535838008958101,15-Jun-2019,-0.0665513046324255,0.0111111262932419
KAN_L,0.486963714587688,16-Jun-2019,-0.115425599002838,-0.0488742943704129
