aws,y,m,GroupCount,mean_gps_lat,mean_gps_lon
JAR,2021,5,6,69.4924721666667,-49.7183528333333
JAR,2021,6,30,69.4924577333333,-49.7184326333333
JAR,2021,7,6,69.4924463333333,-49.7185113333333
JAR,2022,6,15,69.483333,-49.716667
JAR,2022,7,31,69.483333,-49.716667
JAR,2022,8,31,69.4913563548387,-49.7198181612903
JAR,2022,9,18,69.4921766666667,-49.7202394444444
JAR_O,2023,7,25,69.49451856,-49.67155468
JAR_O,2023,8,31,69.4944938064516,-49.6717078064516
JAR_O,2023,9,24,69.494473,-49.6718294583333
KAN_L,2019,5,31,67.0947845806451,-49.9570508064516
KAN_L,2019,6,30,67.0947411333333,-49.9573872333333
KAN_L,2019,7,31,67.094693032258,-49.9576474516129
KAN_L,2019,8,31,67.0946568709677,-49.9578624193548
KAN_L,2019,9,30,67.0946474,-49.9579963666666
KAN_L,2020,5,31,67.0944930967742,-49.9592513225807
KAN_L,2020,6,30,67.0944556666667,-49.9595566666667
KAN_L,2020,7,31,67.0944132258064,-49.9598621612903
KAN_L,2020,8,31,67.0943775483871,-49.9600919032258
KAN_L,2020,9,28,67.0943696071429,-49.9602601071429
KAN_L,2021,5,31,67.0942145806452,-49.9616078064516
KAN_L,2021,6,30,67.0941802333334,-49.9618949333333
KAN_L,2021,7,31,67.0941383548387,-49.962234483871
KAN_L,2021,8,31,67.0941068709677,-49.9625581935484
KAN_L,2021,9,17,67.0940926470588,-49.9627043529412
KAN_L,2022,6,30,67.0939246,-49.9641064666667
KAN_L,2022,7,31,67.0938833548387,-49.9644509032258
KAN_L,2022,8,31,67.0938455483871,-49.9647074516129
KAN_L,2022,9,29,67.0938019655172,-49.9649757241379
KAN_L,2023,5,31,67.0936449677419,-49.9662742903226
KAN_L,2023,6,30,67.0936255333333,-49.9664902666667
KAN_L,2023,7,31,67.0935776774193,-49.9668617419355
KAN_L,2023,8,31,67.0935417419355,-49.9671426129032
KAN_L,2023,9,27,67.0935132222222,-49.9673437407408
KAN_Lv3,2023,8,3,67.1050506666667,-49.9306573333333
KAN_Lv3,2023,9,29,67.1050376551724,-49.9307260689655
KAN_M,2019,5,31,67.0673643870968,-48.8415583225806
KAN_M,2019,6,30,67.0673788,-48.8417781333333
KAN_M,2019,7,31,67.0673993225806,-48.842074483871
KAN_M,2019,8,31,67.0674187741935,-48.8423229032258
KAN_M,2019,9,17,67.0674331176471,-48.8424857647059
KAN_M,2020,9,1,67.06761,-48.8448
KPC_L,2019,5,31,79.9108825483871,-24.0819803548387
KPC_L,2019,6,30,79.9108816333333,-24.0819478
KPC_L,2019,7,31,79.9108637096774,-24.0818322258064
KPC_L,2019,8,26,79.9108477307692,-24.0817692692308
KPC_L,2020,6,30,79.9108445,-24.0815673666667
KPC_L,2020,7,31,79.9108358709677,-24.0814979677419
KPC_L,2020,8,26,79.9108263461539,-24.0814613846154
KPC_L,2021,6,27,79.9108231481481,-24.0812610740741
KPC_L,2021,7,31,79.9108169354839,-24.0812124193548
KPC_L,2021,8,27,79.9108078148148,-24.0811670740741
KPC_L,2022,6,27,79.9108077777778,-24.080968037037
KPC_L,2022,7,31,79.9108024193549,-24.0809423870968
KPC_L,2022,8,27,79.9107983333333,-24.0809120740741
KPC_L,2023,5,31,79.910797967742,-24.0807338387097
KPC_L,2023,6,30,79.9108002,-24.0807176
KPC_L,2023,7,31,79.910794,-24.0806894193548
KPC_L,2023,8,27,79.9107922592593,-24.0806698518519
KPC_Lv3,2022,5,4,79.91387325,-24.09363575
KPC_Lv3,2022,6,30,79.9138743,-24.0936097
KPC_Lv3,2022,7,31,79.9138742903226,-24.0935381612903
KPC_Lv3,2022,8,27,79.9138712962963,-24.0934993703704
MIT,2019,7,1,65.692133,-37.828666
MIT,2019,8,31,65.6921310645161,-37.8286761935484
MIT,2019,9,9,65.6921254444445,-37.8286898888889
MIT,2020,5,31,65.6920918064516,-37.8288396129032
MIT,2020,6,30,65.6920863,-37.8288778333333
MIT,2020,7,31,65.6920904193548,-37.828912483871
MIT,2020,8,31,65.6920877419355,-37.8289367096774
MIT,2020,9,9,65.6920857777778,-37.8289524444444
MIT,2021,5,31,65.6920538709678,-37.829123516129
MIT,2021,6,30,65.6920469333333,-37.8291412333333
MIT,2021,7,31,65.6920515483871,-37.8291820967742
MIT,2021,8,31,65.6920469032258,-37.8292104193548
MIT,2021,9,27,65.6920216666667,-61.5641971851852
MIT,2022,5,31,65.6919966774193,-37.8294430645161
MIT,2022,6,30,65.6919873,-37.8294829666667
MIT,2022,7,31,65.691975483871,-37.8295150967742
MIT,2022,8,31,65.6919756774193,-37.8295523225807
MIT,2022,9,30,65.6919781666667,-37.8295851
MIT,2023,5,29,65.6919455172414,-37.8297089310345
MIT,2023,6,16,65.6919430625,-37.829750875
MIT,2023,7,31,65.6919428064516,-37.8297802258065
MIT,2023,8,21,65.6919527142857,-37.829805047619
MIT,2023,9,1,65.691956,-37.8298
NUK_K,2019,5,31,64.162272516129,-51.3586781935484
NUK_K,2019,6,30,64.1622716666667,-51.3586767666667
NUK_K,2019,7,31,64.1622745806452,-51.3586755483871
NUK_K,2019,8,31,64.1622753225806,-51.3586736451613
NUK_K,2019,9,18,64.1622753333333,-51.3586697777778
NUK_K,2020,5,31,64.1622765483871,-51.3586623548387
NUK_K,2020,6,30,64.1622726,-51.3586732666667
NUK_K,2020,7,31,64.1622773225806,-51.3586787741936
NUK_K,2020,8,31,64.1622785806451,-51.3586774193548
NUK_K,2021,7,31,64.1622818064516,-51.3586713548387
NUK_K,2021,8,31,64.1622813548387,-51.3586669032258
NUK_K,2021,9,2,64.1622805,-51.3586705
NUK_K,2022,9,30,64.1622828333334,-51.3586794333333
NUK_K,2023,5,31,64.1622783870968,-51.3586820322581
NUK_K,2023,6,30,64.1622853,-51.3586878333333
NUK_K,2023,7,31,64.162275483871,-51.3586901612903
NUK_K,2023,8,31,64.1622821290322,-51.358686483871
NUK_K,2023,9,29,64.1622836896552,-51.3586925517241
NUK_L,2019,5,31,64.4829380322581,-49.5418455483871
NUK_L,2019,6,30,64.4829654333333,-49.5421088333333
NUK_L,2019,7,31,64.482984483871,-49.5423291290323
NUK_L,2019,8,31,64.4830074516129,-49.5425575806452
NUK_L,2019,9,28,64.4830293214286,-49.5427493214286
NUK_L,2020,5,31,64.4831943870968,-49.5443561612903
NUK_L,2020,6,30,64.483225,-49.5446394
NUK_L,2020,7,31,64.4832468064516,-49.544853516129
